X,Y,Z,Bx,By,Bz
-1.0,-0.7000000000000001,0.0,2.9109044513456505e-06,6.966998898797539e-06,3.3269327077046355e-08
0.0,-1.0,-0.7000000000000001,-1.2435814575768868e-06,0.0,0.0
-1.0,0.0,-0.7000000000000001,2.914128609627816e-06,-5.5285889286864354e-08,6.954713587279894e-06
-0.9,-0.7000000000000001,0.0,2.286410613728534e-06,9.034715815485045e-06,5.037902895846948e-08
0.0,-0.9,-0.7000000000000001,-1.2308136715303304e-06,0.0,0.0
-0.9,0.0,-0.7000000000000001,2.2889695693953497e-06,-7.18553017531309e-08,9.022931241683734e-06
-0.8,-0.7000000000000001,0.0,5.153117482635003e-07,1.1507753036609967e-05,7.177956960009638e-08
0.0,-0.8,-0.7000000000000001,-1.1156115309305316e-06,0.0,0.0
-0.8,0.0,-0.7000000000000001,5.17134522824182e-07,-9.178925553348382e-08,1.1496711482102762e-05
-0.7000000000000001,-0.7000000000000001,0.0,-3.5758638644045117e-06,1.3577720839321563e-05,9.11232419693743e-08
0.0,-0.7000000000000001,-0.7000000000000001,-8.474738061153893e-07,0.0,0.0
-0.7000000000000001,0.0,-0.7000000000000001,-3.5746623053194362e-06,-1.0869583256593732e-07,1.356763062024237e-05
-0.6000000000000001,-0.7000000000000001,0.0,-1.0859581327941626e-05,1.191123076062073e-05,8.109399586375868e-08
0.0,-0.6000000000000001,-0.7000000000000001,-3.763810780085942e-07,0.0,0.0
-0.6000000000000001,0.0,-0.7000000000000001,-1.0858588821717408e-05,-9.56941411451014e-08,1.1902295087934238e-05
-0.5000000000000001,-0.7000000000000001,0.0,-1.5886832366012334e-05,1.7831262969685163e-06,1.917913916445028e-09
0.0,-0.5000000000000001,-0.7000000000000001,3.253190588732558e-07,0.0,0.0
-0.5000000000000001,0.0,-0.7000000000000001,-1.588568280837646e-05,-1.407500003469236e-08,1.775785213549684e-06
-0.40000000000000013,-0.7000000000000001,0.0,-1.0464856922067834e-05,-8.230731876065224e-06,-7.63141380759241e-08
0.0,-0.40000000000000013,-0.7000000000000001,1.2324568629373183e-06,0.0,0.0
-0.40000000000000013,0.0,-0.7000000000000001,-1.0463799632224548e-05,6.663614472763286e-08,-8.236391389352975e-06
-0.30000000000000016,-0.7000000000000001,0.0,-2.8089043138748167e-06,-9.543859555201885e-06,-8.339740525802736e-08
0.0,-0.30000000000000016,-0.7000000000000001,2.2433154288356326e-06,0.0,0.0
-0.30000000000000016,0.0,-0.7000000000000001,-2.8076384440010814e-06,7.682776198636437e-08,-9.54809824362987e-06
-0.20000000000000018,-0.7000000000000001,0.0,1.5963627797073084e-06,-6.848844298382966e-06,-5.875717692205313e-08
0.0,-0.20000000000000018,-0.7000000000000001,3.184932391433434e-06,0.0,0.0
-0.20000000000000018,0.0,-0.7000000000000001,1.5981233215131942e-06,5.494456814906579e-08,-6.851671311689258e-06
-0.1000000000000002,-0.7000000000000001,0.0,3.554665448228311e-06,-3.423349780650691e-06,-2.911403486198244e-08
0.0,-0.1000000000000002,-0.7000000000000001,3.857487802406267e-06,0.0,0.0
-0.1000000000000002,0.0,-0.7000000000000001,3.556861127912828e-06,2.741280925528046e-08,-3.4247590136295743e-06
-2.220446049250313e-16,-0.7000000000000001,0.0,4.099292782173154e-06,-8.470329472543003e-21,-5.558653716356346e-22
0.0,-2.220446049250313e-16,-0.7000000000000001,4.101656135007487e-06,0.0,0.0
-2.220446049250313e-16,0.0,-0.7000000000000001,4.101656135007485e-06,1.9852334701272664e-21,-4.235164736271502e-21
0.0,-0.7000000000000001,0.0,4.099292782173154e-06,0.0,0.0
0.0,0.0,-0.7000000000000001,4.101656135007487e-06,0.0,0.0
0.0,0.0,-0.7000000000000001,4.101656135007487e-06,0.0,0.0
0.09999999999999964,-0.7000000000000001,0.0,3.5546654482283157e-06,3.42334978065066e-06,2.9114034861980732e-08
0.0,0.09999999999999964,-0.7000000000000001,3.856898934814213e-06,0.0,0.0
0.09999999999999964,0.0,-0.7000000000000001,3.5568611279128346e-06,-2.741280925528068e-08,3.424759013629554e-06
0.19999999999999973,-0.7000000000000001,0.0,1.5963627797073225e-06,6.848844298382951e-06,5.8757176922053455e-08
0.0,0.19999999999999973,-0.7000000000000001,3.184017275801011e-06,0.0,0.0
0.19999999999999973,0.0,-0.7000000000000001,1.5981233215132094e-06,-5.494456814906778e-08,6.851671311689243e-06
0.2999999999999998,-0.7000000000000001,0.0,-2.8089043138747993e-06,9.543859555201882e-06,8.339740525802793e-08
0.0,0.2999999999999998,-0.7000000000000001,2.2423957834226415e-06,0.0,0.0
0.2999999999999998,0.0,-0.7000000000000001,-2.807638444001063e-06,-7.682776198636461e-08,9.548098243629866e-06
0.3999999999999997,-0.7000000000000001,0.0,-1.0464856922067798e-05,8.230731876065251e-06,7.631413807592377e-08
0.0,0.3999999999999997,-0.7000000000000001,1.2317529236650435e-06,0.0,0.0
0.3999999999999997,0.0,-0.7000000000000001,-1.0463799632224516e-05,-6.663614472763162e-08,8.236391389352994e-06
0.49999999999999956,-0.7000000000000001,0.0,-1.5886832366012334e-05,-1.7831262969684441e-06,-1.917913916444037e-09
0.0,0.49999999999999956,-0.7000000000000001,3.2492246174160255e-07,0.0,0.0
0.49999999999999956,0.0,-0.7000000000000001,-1.588568280837646e-05,1.407500003469198e-08,-1.775785213549612e-06
0.5999999999999996,-0.7000000000000001,0.0,-1.0859581327941667e-05,-1.1911230760620702e-05,-8.109399586375874e-08
0.0,0.5999999999999996,-0.7000000000000001,-3.7647346483293313e-07,0.0,0.0
0.5999999999999996,0.0,-0.7000000000000001,-1.0858588821717437e-05,9.569414114510133e-08,-1.190229508793421e-05
0.6999999999999997,-0.7000000000000001,0.0,-3.575863864404528e-06,-1.357772083932157e-05,-9.11232419693738e-08
0.0,0.6999999999999997,-0.7000000000000001,-8.47320774574606e-07,0.0,0.0
0.6999999999999997,0.0,-0.7000000000000001,-3.5746623053194545e-06,1.0869583256593688e-07,-1.3567630620242368e-05
0.7999999999999996,-0.7000000000000001,0.0,5.153117482634893e-07,-1.1507753036609979e-05,-7.1779569600098e-08
0.0,0.7999999999999996,-0.7000000000000001,-1.1152944834923654e-06,0.0,0.0
0.7999999999999996,0.0,-0.7000000000000001,5.171345228241701e-07,9.178925553348324e-08,-1.149671148210277e-05
