n_spires,points,execution_time
2,5,56.69610810279846
2,6,53.391319274902344
2,7,50.31938123703003
2,8,48.89864730834961
2,9,46.66740012168884
2,10,46.130096673965454
2,11,44.56857395172119
2,12,44.15203881263733
2,13,43.31899070739746
2,14,42.39515733718872
2,15,41.91665768623352
2,16,41.98035287857056
2,17,41.5721800327301
2,18,40.70231556892395
2,19,40.5001323223114
2,20,40.02126979827881
2,21,40.131099462509155
2,22,40.20286536216736
2,23,39.83226466178894
2,24,40.06326460838318
2,25,39.34228229522705
2,26,39.21657586097717
2,27,39.06932234764099
2,28,39.32539081573486
2,29,39.673282623291016
2,30,38.48803234100342
2,31,38.56711935997009
2,32,38.97585153579712
2,33,38.22730350494385
2,34,38.04341650009155
2,35,37.967323541641235
2,36,38.042006492614746
2,37,38.61630439758301
2,38,37.47811770439148
2,39,38.51919150352478
2,40,38.38469338417053
2,41,37.98175311088562
2,42,37.90877676010132
2,43,37.38975214958191
2,44,37.296196699142456
2,45,37.396334171295166
2,46,37.38168406486511
2,47,37.88408017158508
2,48,37.62530708312988
2,49,36.1368510723114
2,50,37.78574514389038
2,51,37.12580060958862
2,52,37.41194009780884
2,53,37.34508538246155
2,54,37.268943548202515
2,55,37.18169856071472
2,56,37.27975249290466
2,57,37.27719283103943
2,58,37.21565866470337
2,59,37.257705211639404
2,60,37.40813755989075
2,61,37.28431558609009
2,62,37.770079612731934
2,63,36.231868505477905
2,64,36.44819211959839
2,65,36.9254674911499
2,66,37.02063488960266
2,67,36.645745277404785
2,68,36.69355869293213
2,69,36.3980917930603
2,70,36.18579125404358
2,71,35.777400493621826
2,72,37.431915283203125
2,73,36.31703853607178
2,74,36.885541915893555
2,75,36.334309339523315
2,76,36.79971122741699
2,77,37.36441898345947
2,78,36.95388722419739
2,79,36.72258496284485
2,80,36.3632116317749
2,81,36.46690654754639
2,82,37.439887285232544
2,83,36.27161455154419
2,84,37.82488679885864
2,85,35.855462312698364
2,86,36.0859260559082
2,87,36.249104738235474
2,88,36.00594520568848
2,89,35.64577913284302
2,90,37.151137351989746
2,91,35.97693920135498
2,92,36.43205547332764
2,93,36.59351897239685
2,94,36.283058404922485
2,95,36.76017165184021
2,96,36.07365131378174
2,97,35.68667268753052
2,98,36.693981885910034
2,99,36.76736402511597
3,1,146.93665099143982
3,2,96.39191126823425
3,3,78.94188141822815
3,4,69.79985523223877
3,5,65.34875345230103
3,6,62.55632257461548
3,7,59.55524015426636
3,8,57.876068115234375
3,9,56.72661876678467
3,10,55.82627749443054
3,11,54.26495051383972
3,12,53.81425595283508
3,13,53.583571910858154
3,14,52.46152138710022
3,15,52.03272032737732
3,16,51.12285041809082
3,17,51.40017557144165
3,18,51.47505521774292
3,19,51.62350654602051
3,20,51.21224665641785
3,21,51.09192776679993
3,22,50.893537521362305
3,23,50.430002212524414
3,24,49.8583550453186
3,25,49.87027454376221
3,26,49.65282845497131
3,27,49.3729453086853
3,28,49.60694599151611
3,29,49.668835401535034
3,30,49.263705015182495
3,31,49.88646745681763
3,32,48.88181805610657
3,33,49.11896800994873
3,34,49.13495230674744
3,35,48.5359845161438
3,36,49.317505836486816
3,37,48.4521484375
3,38,48.643911838531494
3,39,48.212608337402344
3,40,49.38031339645386
3,41,47.97420525550842
3,42,49.109506130218506
3,43,48.597689151763916
3,44,48.14328050613403
3,45,48.44308662414551
3,46,48.49732065200806
3,47,48.45461440086365
3,48,48.422040939331055
3,49,48.92479991912842
3,50,47.819793701171875
3,51,47.60962653160095
3,52,48.14460039138794
3,53,47.52661919593811
3,54,47.579561710357666
3,55,47.704774141311646
3,56,48.14728331565857
3,57,48.27721834182739
3,58,47.93230390548706
3,59,47.99229884147644
3,60,48.57367491722107
3,61,47.681275606155396
3,62,47.37290596961975
3,63,48.16807556152344
3,64,48.09543061256409
3,65,47.54735994338989
3,66,47.854684591293335
3,67,47.87599444389343
3,68,48.095057010650635
3,69,48.286080837249756
3,70,47.39304852485657
