X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.33999999999999964,0.0,1.1532304261890052e-05,6.221816105432701e-06,3.0358744394741135e-08,1.3103662041276492e-05
-0.8,-0.3299999999999996,0.0,1.17351058779297e-05,6.092335872701332e-06,2.967624697759824e-08,1.322233515804445e-05
-0.8,-0.3199999999999996,0.0,1.1932830205203038e-05,5.957418825524089e-06,2.8970530544691926e-08,1.333732038531559e-05
-0.8,-0.3099999999999996,0.0,1.2125290038454452e-05,5.817290429195301e-06,2.8242744929726002e-08,1.3448580746937247e-05
-0.8,-0.2999999999999996,0.0,1.2312316752749321e-05,5.672179025435513e-06,2.7494045315023966e-08,1.3556087733529536e-05
-0.8,-0.2899999999999996,0.0,1.2493759790578696e-05,5.522314366201404e-06,2.67255852090514e-08,1.3659820786552808e-05
-0.8,-0.2799999999999996,0.0,1.2669486016007252e-05,5.367926257369854e-06,2.5938509868538595e-08,1.3759766750227209e-05
-0.8,-0.2699999999999996,0.0,1.2839378954794997e-05,5.209243320849195e-06,2.5133950212355695e-08,1.3855919299566445e-05
-0.8,-0.25999999999999956,0.0,1.3003337939483426e-05,5.0464918809047465e-06,2.4313017264095757e-08,1.3948278352372206e-05
-0.8,-0.24999999999999956,0.0,1.3161277178097868e-05,4.879894977900964e-06,2.347679715048591e-08,1.4036849472515808e-05
-0.8,-0.23999999999999955,0.0,1.3313124764436954e-05,4.709671510303591e-06,2.262634667332384e-08,1.412164327123418e-05
-0.8,-0.22999999999999954,0.0,1.3458821646957087e-05,4.53603550368549e-06,2.1762689463793308e-08,1.4202674812511502e-05
-0.8,-0.21999999999999953,0.0,1.3598320572074241e-05,4.359195503661142e-06,2.0886812720003505e-08,1.427996302792772e-05
-0.8,-0.20999999999999952,0.0,1.3731585016356968e-05,4.179354088146452e-06,1.9999664521373696e-08,1.435353014565151e-05
-0.8,-0.1999999999999995,0.0,1.3858588120627751e-05,3.996707493102198e-06,1.9102151707124108e-08,1.442340113755503e-05
