Time (UTC),ECI X (km),ECI Y (km),ECI Z (km),ECEF X (km),ECEF Y (km),ECEF Z (km),Latitude (deg),Longitude (deg),Altitude (m),B N,B E,B D,Bx ECEF (nT),By ECEF (nT),Bz ECEF (nT),Bx ECI (nT),By ECI (nT),Bz ECI (nT)
2025-01-28 09:36:00,2515.42387193457,-6109.122882677338,4254.830242734186,6189.417871513885,2310.8106938766523,4254.830242734186,32.924340206658165,20.473048827647496,1486413.3794152597,17320.05249743751,530.8480847142604,9172.572712850571,-16218.08368888617,-5488.360561744552,9552.683820798135,-6024.820486787594,16026.536690670668,9552.683820798135
2025-01-28 09:40:48,3595.0193303611486,-4657.413496669409,5210.670525591726,4845.571241301614,3337.0801324060885,5210.670525591726,41.68421670982858,34.554664969653395,1490465.6461170204,15075.04144600358,830.7139206045867,18505.34023860484,-20109.946256230847,-12840.795678151499,-1048.1438291628838,-13912.77243898367,19383.775048673662,-1048.1438291628838
2025-01-28 09:45:36,4431.477563424423,-2890.679120942422,5813.347997874945,3215.7531433280756,4201.5414905201305,5813.347997874945,47.848671118463834,52.570474378038384,1494179.2345772833,10238.494408459946,1158.3638937788933,26482.230793683997,-16334.840251977206,-19436.404275864068,-12762.300154751858,-20609.7916980156,14826.911458454491,-12762.300154751858
2025-01-28 09:50:24,4968.548550628249,-928.6256662722031,6022.439528948771,1401.93468106143,4856.274238348443,6022.439528948771,50.14691267055943,73.8973519315689,1496909.5862863753,4329.7933211645395,966.0934327948389,30779.792966811623,-7320.840853848518,-21876.062244943605,-20854.718690326463,-22478.483948164612,5184.068821315005,-20854.718690326463
2025-01-28 09:55:12,5170.250254621412,1096.1274260008818,5824.157235383541,-483.6382885945046,5262.99126307934,5824.157235383541,47.93264265365237,95.25040296976373,1498328.4248307114,7415.913401128013,466.50525320787085,30611.645191204312,1916.0652189047587,-25948.715506761844,-17756.09973114939,-25546.278882166003,-4939.106968730116,-17756.09973114939
2025-01-28 10:00:00,5023.18956468769,3046.9521293761054,5232.164434531256,-2325.4844249479006,5395.226859995937,5232.164434531256,41.842128473553714,113.3173108011936,1498481.7753966209,25843.29906662049,1072.7640967059242,15566.728486726526,10429.020630536255,-26906.001553878003,8868.628659719361,-25211.669218911837,-14038.131147898923,8868.628659719361
2025-01-28 10:04:48,4537.407579812299,4792.3215412895315,4286.60672170263,-4011.9976714171735,5240.065647011395,4286.60672170263,33.1472956274815,127.4390707224532,1497748.9730589073,27400.864293925923,980.4625478836166,-3351.4435718747163,6623.85131981508,-10264.226692377162,24774.403907619722,-9083.715375275162,-8167.978383940141,24774.403907619722
2025-01-28 10:09:36,3745.7045452698967,6214.5838697207955,3051.422072744332,-5442.241889601202,4799.3081198563805,3051.422072744332,22.919773393617024,138.59214319360396,1496715.0663871355,18867.70848852368,692.8857834483395,-15850.468603293044,-5896.844501783262,4276.38242978069,23550.958526073697,3149.74096536007,6568.055542935146,23550.958526073697
2025-01-28 10:14:24,2701.466776071274,7217.858977131422,1610.0734931663676,-6532.047162940191,4089.9597573935334,1610.0734931663676,11.86273558925261,147.94777360532743,1495990.345953959,6941.698118245373,260.3270428929133,-20508.802633211737,-15939.98446986622,9673.475113697861,11009.391568439976,6291.372822875011,17552.146697156386,11009.391568439976
2025-01-28 10:19:12,1475.1030323287657,7734.5258012312015,59.94658598976038,-7219.034155783843,3143.9408683248066,59.94658598976038,0.43857944147169603,156.46653110114036,1496025.2736378126,-4273.894971000547,-453.95240783655277,-18373.276422410865,-16693.35987288962,7765.211508210137,-4133.130035820644,3893.993866077179,17994.543211318087,-4133.130035820644
2025-01-28 10:24:00,149.30266364866605,7729.822012612732,-1494.2330304743552,-7466.228965055668,2006.9540785500562,-1494.2330304743552,-10.996953942576859,164.9543003670639,1496972.1205667555,-12009.421121927913,-1481.6662191393498,-11299.510448620109,-8114.806312604842,3715.5565586418593,-13944.35458584097,1651.3535847050982,8770.887832473949,-13944.35458584097
2025-01-28 10:28:48,-1186.5639958356267,7204.19527149163,-2947.5057596721754,-7264.014998740599,736.5118628151026,-2947.5057596721754,-22.092175424195666,174.21046067652426,1498633.064774678,-14480.507651561587,-2635.54351251544,-1909.4879461494488,3923.8974452280004,2251.2047789775156,-14135.502875816901,3198.040801008008,-3199.5982798854757,-14135.502875816901
2025-01-28 10:33:36,-2442.4979717678125,6193.224621382626,-4201.790452434112,-6630.299284409808,-600.7985953251125,-4201.790452434112,-32.3983732265392,-174.82233479347227,1500510.1496111238,-11387.737396422335,-3384.972280595718,6717.752072009142,11420.154381772845,4433.667729341351,-6015.767416841496,7468.468125861931,-9710.78367026641,-6015.767416841496
2025-01-28 10:38:24,-3533.9343736429155,4765.140155407907,-5172.487627804525,-5608.924976410931,-1932.6700356991805,-5172.487627804525,-41.23886461234084,-160.9875600459914,1501942.9194450844,-3727.825759364682,-3148.7728906126713,12146.70563707693,9933.197221942726,6753.143040705416,5203.899063625075,9433.920917263635,-7434.681170370008,5203.899063625075
2025-01-28 10:43:12,-4387.3908155244535,3016.164926957158,-5794.120845307442,-4266.506010034176,-3184.8666378825146,-5794.120845307442,-47.57562653645516,-143.25935140727492,1502294.914196929,7315.886264090306,-1857.1243565364164,11914.407943499527,1002.4834790370369,3065.82555853145,13730.257094016259,3225.358889276831,36.32514899907221,13730.257094016259
2025-01-28 10:48:00,-4945.337908080007,1064.0482511105138,-6024.666887159765,-2687.962646085676,-4285.256412285334,-6024.666887159765,-50.135345082627865,-122.09833398131843,1501138.1524302177,18304.58217101488,-20.69922296017146,1655.5169633413852,-6919.408342700347,-10992.240424156409,13003.512293749282,-12693.774599022281,2752.3894682086934,13003.512293749282
2025-01-28 10:52:48,-5170.008218651685,-959.7586587957221,-5848.337916087715,-971.0869475338362,-5167.892394815197,-5848.337916087715,-48.19561322865369,-100.64222161774967,1498387.1470445013,16632.05508491517,1042.464104045352,-18908.482937758577,-3592.7539016713017,-24764.615104067652,-3008.101213854474,-24391.885738442303,-5588.37650604943,-3008.101213854474
2025-01-28 10:57:36,-5045.935269790431,-2918.7999983381505,-5276.6754013803475,779.5240497543214,-5776.954079189867,-5276.6754013803475,-42.30642288096836,-82.31510510578046,1494347.852139364,8365.566516899258,443.483441324001,-24762.243690865027,3641.394043945261,-23669.524603753478,-10480.550928563258,-20504.113773054793,-12372.851891645518,-10480.550928563258
2025-01-28 11:02:24,-4581.0739814345525,-4680.683592187784,-4347.890282416487,2458.8369540580943,-6070.350776265806,-4347.890282416487,-33.72235031834904,-67.94925601509173,1489667.54174947,9097.938277022262,-795.0610827778786,-19002.04158394529,7092.866294804681,-19628.54166182858,-2982.2453503567067,-15155.898405984819,-14348.76801518456,-2982.2453503567067
2025-01-28 11:07:12,-3806.4061461166552,-6125.990957270116,-3124.4513448737302,3967.719218185679,-6022.764910187838,-3124.4513448737302,-23.536986575967266,-56.62362753702147,1485194.9757002117,8288.589739654637,-1840.547508409522,-15547.574995172698,8125.6170976968315,-15679.830045814462,1390.2157205020112,-10833.10305756002,-13947.279362954367,1390.2157205020112
2025-01-28 11:12:00,-2773.998845655657,-7156.461321376776,-1689.00836778736,5218.89315545145,-5627.891476569423,-1689.00836778736,-12.476262481000784,-47.15942159152876,1481782.8125086026,7386.552929970255,-2350.542872525335,-14020.115237441081,8669.528047763128,-12805.828506954898,4183.28661861331,-7715.87818614095,-13402.058951412077,4183.28661861331
2025-01-28 11:16:48,-1553.5779439085832,-7701.857404366726,-138.85357651196801,6142.133498853265,-4899.633454378229,-138.85357651196801,-1.017991747930161,-38.579669560933766,1480081.4719401114,7075.733617345827,-2436.399103701591,-13537.402313827584,9160.011778228529,-10423.650212109882,6834.1062839903525,-5089.508198202901,-12909.500603126722,6834.1062839903525
2025-01-28 11:21:36,-227.80445533878333,-7724.9515939748035,1420.733310773336,6688.340919735968,-3872.0624659877953,1420.733310773336,10.472311885704563,-30.06771724066141,1480379.538915852,7761.434243144769,-2240.2053807247385,-13395.680719692864,9056.687532376036,-7831.69722263992,10066.954512474866,-2585.930826449373,-11690.681426119703,10066.954512474866
2025-01-28 11:26:24,1113.4216169018084,-7224.187458801208,2883.7756635493934,6832.182259056899,-2598.052677663226,2883.7756635493934,21.6372348809725,-20.82015184077186,1482535.662692057,9860.920592803684,-1809.9340722152876,-12670.828134583982,6967.017800655822,-4585.704338293913,13838.18920909119,-548.5781422657842,-8322.68486335575,13838.18920909119
2025-01-28 11:31:12,2379.1923547424267,-6233.7726194776205,4150.956782531787,6573.106407325575,-1146.6252614473253,4150.956782531787,32.02632323291637,-9.89521675232983,1486021.552472489,13426.396832402794,-1150.6521273642647,-9623.06837505447,825.1617039094599,-1311.9708785974767,16486.15836835406,-704.7698166843841,-1380.3836167447284,16486.15836835406
2025-01-28 11:36:00,3483.863834344993,-4821.208523363937,5136.4619651467265,5934.702540701253,400.82988337717325,5136.4619651467265,40.965877339307745,3.86388954897522,1490063.117117674,17108.86307495225,-366.8159555624342,-1899.8608134789727,-9735.193205950789,-1025.1667173707501,14164.47200631628,-6026.701303048722,7713.872241580485,14164.47200631628
2025-01-28 11:40:48,4352.889021638177,-3082.503612009178,5773.794015352278,4962.528760090301,1955.1929976410017,5773.794015352278,47.42373070072026,21.50400715167062,1493838.9348664125,17572.8415340814,361.9260983013818,10760.942147387874,-18945.924821704375,-7075.525031713636,3965.16130288749,-16292.90904101411,11981.328674455137,3965.16130288749
2025-01-28 11:45:36,4927.805450501258,-1135.4973328737553,6020.176687307887,3720.6636489796133,3424.8040472580365,6020.176687307887,50.12319972658109,42.62901044319003,1496681.4593625562,13036.181252223581,978.5481650101541,22918.409505462663,-18834.507337442315,-16006.832460625254,-9230.152780179578,-23847.76322746712,6499.349283840789,-9230.152780179578
2025-01-28 11:50:24,5170.074952632989,888.1792547234758,5859.304419683153,2287.300053557541,4720.889309161974,5859.304419683153,48.316826969236395,64.14952492220185,1498229.1731972918,6961.927102786435,1168.1260552395943,29314.867549001006,-11818.46449796005,-21713.76406294218,-17263.567244641326,-24535.367668947212,-3029.750191062165,-17263.567244641326
2025-01-28 11:55:12,5063.5744628130615,2851.9520586842104,5302.323500106088,749.712546490056,5762.9287678333385,5302.323500106088,42.53204194958635,82.5878885126823,1498493.5366505124,2318.757900791395,536.9197789849771,31303.224768023047,-3710.4527518213727,-24359.697625855835,-19452.36422346379,-21727.901332158173,-11621.558920670857,-19452.36422346379
2025-01-28 12:00:00,4615.619349031486,4623.4135873437435,4387.0259205743905,-801.0894435874866,6483.683434449995,4387.0259205743905,34.02645054362103,97.04346527363084,1497826.9772945857,9886.521863398408,415.5681668015018,29745.540654031734,3288.8898333696898,-30007.91159066277,-8451.132816865007,-21619.923364313134,-21068.233625301924,-8451.132816865007
2025-01-28 12:04:48,3856.4665149755747,6083.1530514943015,3175.3131207743177,-2275.733339276936,6833.602475820182,3175.3131207743177,23.90587355705398,108.41884304920528,1496802.1746633733,22249.623156988102,578.5079688873682,20504.39294778559,8222.745577892136,-26522.317209620775,12031.77780915006,-15353.01393326934,-23137.23877586365,12031.77780915006
2025-01-28 12:09:36,2837.3105759943287,7132.765171432442,1749.0651914187015,-3591.601745894055,6784.325109717231,1749.0651914187015,12.903388964784726,117.89661281206124,1496034.620691076,27305.92964725539,305.3364451095105,8739.834177798362,6569.000778682722,-13061.056334031367,24664.727079574794,-5686.305065749818,-13468.812066782397,24664.727079574794
2025-01-28 12:14:24,1626.8695777042544,7701.503335348797,204.64808660201544,-4677.420997862038,6331.002373716785,204.64808660201544,1.4973992188149545,126.45743634994685,1495995.8046119548,26694.153081253855,-165.2012176480591,-2658.4273564606383,-1031.7866528518489,1674.559179896391,26754.506237890597,566.7178468662515,1883.4975513713243,26754.506237890597
2025-01-28 12:19:12,306.7603993556445,7751.0902393294455,-1353.5965253102336,-5477.054031380781,5493.212264074324,-1353.5965253102336,-9.951134309229571,134.9156084416458,1496868.6394675355,21342.975444474247,-793.8560090556766,-12364.723662659304,-10640.918701481041,11796.650410123562,18885.155221238558,1420.7006511073268,15823.138796400055,18885.155221238558
2025-01-28 12:24:00,-1034.0266434876119,7278.310444760773,-2820.430118006757,-5952.270327221979,4314.335636158685,-2820.430118006757,-21.094140927028622,144.0645789376718,1498486.5484844698,11704.297185560077,-1632.232930420702,-18669.98900546761,-16556.505544351945,14016.418428126626,4200.6410247551785,-1426.5938436629785,21645.846978062727,4200.6410247551785
2025-01-28 12:28:48,-2305.1559260002427,6315.183404718775,-4096.850973056414,-6084.339156284659,2859.3884503002996,-4096.850973056414,-31.49675354778034,154.82841113369355,1500374.2176105175,-779.3721477078197,-2636.1044329844703,-18835.25379328861,-13045.40697349302,9043.503256550388,-10505.030163141768,-2890.974364710125,15608.00632617397,-10505.030163141768
