X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.6299999999999999,0.0,4.901359271512347e-06,7.75199086237305e-06,6.088524576765198e-08,9.17171696313768e-06
-0.8,-0.6199999999999999,0.0,5.1387235408709945e-06,7.830803024633054e-06,6.15042477703465e-08,9.366522215454236e-06
-0.8,-0.6099999999999999,0.0,5.381689084826112e-06,7.903866855535889e-06,6.207810155580778e-08,9.56229796473986e-06
-0.8,-0.5999999999999999,0.0,5.629972712725057e-06,7.970797659134367e-06,6.260378566700881e-08,9.758797431183337e-06
-0.8,-0.5899999999999999,0.0,5.883258758209781e-06,8.03122380213306e-06,6.307838124285347e-08,9.955765578707693e-06
-0.8,-0.5799999999999998,0.0,6.141200187890718e-06,8.084789909366548e-06,6.349909711592676e-08,1.0152940449036363e-05
-0.8,-0.5699999999999998,0.0,6.403420106812804e-06,8.131159986497526e-06,6.386329433861597e-08,1.035005460423841e-05
-0.8,-0.5599999999999998,0.0,6.6695136523762506e-06,8.17002041573811e-06,6.416850971192658e-08,1.0546836660840508e-05
-0.8,-0.5499999999999998,0.0,6.9390502595261365e-06,8.201082770915012e-06,6.441247789540944e-08,1.0743012896154292e-05
-0.8,-0.5399999999999998,0.0,7.2115762712642714e-06,8.2240864002599e-06,6.459315169276917e-08,1.0938308905422598e-05
-0.8,-0.5299999999999998,0.0,7.486617860176355e-06,8.238800728905573e-06,6.470872013599812e-08,1.1132451286818561e-05
-0.8,-0.5199999999999998,0.0,7.763684219016904e-06,8.245027238133813e-06,6.475762403067166e-08,1.1325169330303662e-05
-0.8,-0.5099999999999998,0.0,8.042270971743235e-06,8.242601084816866e-06,6.473856867526826e-08,1.1516196685913373e-05
-0.8,-0.4999999999999998,0.0,8.32186375099444e-06,8.231392332020053e-06,6.465053352650343e-08,1.1705272987215594e-05
-0.8,-0.48999999999999977,0.0,8.60194188407556e-06,8.211306770139586e-06,6.449277864866828e-08,1.18921454064795e-05
-0.8,-0.47999999999999976,0.0,8.88198212717971e-06,8.18228631694581e-06,6.42648478556165e-08,1.2076570119478807e-05
-0.8,-0.46999999999999975,0.0,9.161462386936849e-06,8.144308994170586e-06,6.396656852688504e-08,1.2258313659785169e-05
-0.8,-0.45999999999999974,0.0,9.439865369424535e-06,8.097388487494948e-06,6.35980481517684e-08,1.2437154144819668e-05
-0.8,-0.44999999999999973,0.0,9.716682099447762e-06,8.041573305639746e-06,6.315966772470751e-08,1.2612882358736778e-05
-0.8,-0.4399999999999997,0.0,9.99141525705881e-06,7.976945562443803e-06,6.265207217954292e-08,1.2785302680317266e-05
-0.8,-0.4299999999999997,0.0,1.0263582283756029e-05,7.903619413075753e-06,6.20761581073102e-08,1.2954233847340563e-05
-0.8,-0.4199999999999997,0.0,1.0532718217334445e-05,7.821739181654152e-06,6.143305905028716e-08,1.3119509552278887e-05
-0.8,-0.4099999999999997,0.0,1.0798378221695073e-05,7.731477222400302e-06,6.07241287032107e-08,1.3280978867503703e-05
-0.8,-0.3999999999999997,0.0,1.1060139785765419e-05,7.633031559921351e-06,5.995092237967228e-08,1.3438506501413045e-05
-0.8,-0.3899999999999997,0.0,1.131760457375482e-05,7.526623356294117e-06,5.91151771182838e-08,1.359197288989181e-05
-0.8,-0.37999999999999967,0.0,1.1570399916986384e-05,7.41249425331573e-06,5.82187908083112e-08,1.3741274130226803e-05
-0.8,-0.36999999999999966,0.0,1.1818179945258975e-05,7.290903637690609e-06,5.726380071004909e-08,1.3886321766957704e-05
-0.8,-0.35999999999999965,0.0,1.2060626362879264e-05,7.162125875154491e-06,5.625236173125755e-08,1.4027042441111245e-05
-0.8,-0.34999999999999964,0.0,1.2297448880982085e-05,7.026447556756887e-06,5.518672479906371e-08,1.4163377415814931e-05
-0.8,-0.33999999999999964,0.0,1.2528385323396064e-05,6.884164796911762e-06,5.406921563845719e-08,1.429528199241291e-05
-0.8,-0.3299999999999996,0.0,1.2753201428016819e-05,6.735580618577247e-06,5.290221423511342e-08,1.442272483191698e-05
-0.8,-0.3199999999999996,0.0,1.2971690369377986e-05,6.581002456234023e-06,5.168813522345127e-08,1.4545687196942422e-05
-0.8,-0.3099999999999996,0.0,1.3183672030857355e-05,6.4207398023886504e-06,5.0429409401922106e-08,1.4664162129236056e-05
