X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.6099999999999999,0.0,2.7625069425743686e-06,3.895054649097092e-06,1.4593752551135889e-08,4.775260024840321e-06
-0.8,-0.5999999999999999,0.0,2.8746193877926662e-06,3.933205707826142e-06,1.3612355489632895e-08,4.871727523268477e-06
-0.8,-0.5899999999999999,0.0,2.989403018838943e-06,3.969503390879757e-06,1.2523623330637957e-08,4.969270008803165e-06
-0.8,-0.5799999999999998,0.0,3.106815781371224e-06,4.003810687995372e-06,1.1325018759918907e-08,5.067833124791421e-06
-0.8,-0.5699999999999998,0.0,3.226807215247543e-06,4.0359891674345865e-06,1.0014488100918096e-08,5.167358479338825e-06
-0.8,-0.5599999999999998,0.0,3.3493182156577685e-06,4.065899429418083e-06,8.590513592883366e-09,5.267783639900467e-06
-0.8,-0.5499999999999998,0.0,3.474280827084113e-06,4.093401587303542e-06,7.052163819409732e-09,5.369042144870719e-06
-0.8,-0.5399999999999998,0.0,3.601618073179689e-06,4.118355774473547e-06,5.399141398611842e-09,5.471063532890294e-06
-0.8,-0.5299999999999998,0.0,3.7312438254855985e-06,4.140622674562949e-06,3.631827005681576e-09,5.573773390486613e-06
-0.8,-0.5199999999999998,0.0,3.863062713697455e-06,4.1600640723257616e-06,1.7513187727964807e-09,5.677093418549019e-06
-0.8,-0.5099999999999998,0.0,3.996970079942327e-06,4.176543422124779e-06,-2.405338983723375e-10,5.78094151801456e-06
-0.8,-0.4999999999999998,0.0,4.132851979237741e-06,4.189926430727318e-06,-2.3411030670484652e-09,5.88523189500297e-06
-0.8,-0.48999999999999977,0.0,4.2705852279770535e-06,4.200081650812402e-06,-4.546962453046493e-09,5.989875185492132e-06
-0.8,-0.47999999999999976,0.0,4.410037501922032e-06,4.2068810813432734e-06,-6.853875981188526e-09,6.094778599468453e-06
-0.8,-0.46999999999999975,0.0,4.551067484786648e-06,4.210200770738938e-06,-9.25679547239783e-09,6.199846084321403e-06
-0.8,-0.45999999999999974,0.0,4.6935250680686824e-06,4.209921418594284e-06,-1.1749868186893142e-08,6.304978507079183e-06
-0.8,-0.44999999999999973,0.0,4.8372516023320384e-06,4.2059289715548786e-06,-1.4326454805203758e-08,6.410073854904937e-06
-0.8,-0.4399999999999997,0.0,4.98208019966663e-06,4.198115208854338e-06,-1.697915829084369e-08,6.515027453091864e-06
-0.8,-0.4299999999999997,0.0,5.127836086559992e-06,4.18637831297299e-06,-1.9699863915449734e-08,6.619732199613196e-06
-0.8,-0.4199999999999997,0.0,5.274337005910767e-06,4.170623420880747e-06,-2.2479790545252425e-08,6.724078815101867e-06
-0.8,-0.4099999999999997,0.0,5.421393666405972e-06,4.150763151387212e-06,-2.5309553089435164e-08,6.827956106957504e-06
